,SECTION I
,LIVE ANIMALS; ANIMAL PRODUCTS
,Notes
,"1. Any reference in this Section to a particular genus or species of an animal, except where the context otherwise requires, includes a reference to the young of that genus or species."
,"2. Except where the context otherwise requires, throughout the Nomenclature any reference to “dried” products also covers products which have been dehydrated, evaporated or freeze-dried."
,Chapter 1
,Live animals
,Note
,1. This Chapter covers all live animals except:
,"(a) Fish and crustaceans, molluscs and other aquatic invertebrates, of heading 03.01, 03.06, 03.07 or 03.08;"
,(b) Cultures of micro-organisms and other products of heading 30.02; and
,(c) Animals of heading 95.08.
0101,"Live horses, asses, mules and hinnies"
,- Horses:
01012100,- - Pure-bred breeding animals
01012900,- - Other
010130,- Asses:
01013010,- - Pure-bred breeding animals
01013090,- - Other
01019000,- Other
0102,Live bovine animals
,- Cattle:
01022100,- - Pure-bred breeding animals
010229,- - Other:
,- - - Male cattle:
01022911,- - - - Oxen
01022919,- - - - Other
01022990,- - - Other
,- Buffalo:
01023100,- - Pure-bred breeding animals
01023900,- - Other
010290,- Other:
01029010,- - Pure-bred breeding animals
01029090,- - Other
0103,Live swine
01031000,- Pure-bred breeding animals
,- Other:
01039100,- - Weighing less than 50 kg
01039200,- - Weighing 50 kg or more
0104,Live sheep and goats
010410,- Sheep:
01041010,- - Pure-bred breeding animals
01041090,- - Other
010420,- Goats:
01042010,- - Pure-bred breeding animals
01042090,- - Other
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
,- Weighing not more than 185 g:
010511,- - Fowls of the species Gallus domesticus:
01051110,- - - Breeding fowls
01051190,- - - Other
010512,- - Turkeys:
01051210,- - - Breeding turkeys
01051290,- - - Other
010513,- - Ducks:
01051310,- - - Breeding ducklings
01051390,- - - Other
010514,- - Geese:
01051410,- - - Breeding goslings
01051490,- - - Other
010515,- - Guinea fowls:
01051510,- - - Breeding guinea fowls
01051590,- - - Other
,- Other:
010594,- - Fowls of the species Gallus domesticus:
01059410,"- - - Breeding fowls, other than fighting cocks"
,- - - Fighting cocks:
01059441,- - - - Weighing not more than 2 kg
01059449,- - - - Other
,- - - Other:
01059491,- - - - Weighing not more than 2 kg
01059499,- - - - Other
010599,- - Other:
01059910,- - - Breeding ducks
01059920,- - - Other ducks
01059930,"- - - Breeding geese, turkeys and guinea fowls"
01059940,"- - - Other geese, turkeys and guinea fowls"
0106,Other live animals
,- Mammals:
01061100,- - Primates
010612,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia):"
01061210,"- - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)"
01061220,"- - - Seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
01061300,- - Camels and other camelids (Camelidae)
01061400,- - Rabbits and hares
01061900,- - Other
01062000,- Reptiles (including snakes and turtles)
,- Birds:
01063100,- - Birds of prey
01063200,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
01063300,- - Ostriches; emus (Dromaius novaehollandiae)
01063900,- - Other
,- Insects:
01064100,- - Bees
01064900,- - Other
01069000,- Other
,
,Chapter 2
,Meat and edible meat offal
,Note
,1. This Chapter does not cover:
,"(a) Products of the kinds described in headings 02.01 to 02.08 or 02.10, unfit or unsuitable for human consumption;"
,"(b) Edible, non-living insects (heading 04.10);"
,"(c) Guts, bladders or stomachs of animals (heading 05.04) or animal blood (heading 05.11 or 30.02); or"
,"(d) Animal fat, other than products of heading 02.09 (Chapter 15)."
0201,"Meat of bovine animals, fresh or chilled"
